Manager,AID (v1),Occurrences
Unspecified,34157,1738
Unspecified,33897,1618
Unspecified,34079,1487
Unspecified,34141,1302
Unspecified,33967,1033
Unspecified,34140,804
Unspecified,34139,697
Unspecified,34018,606
Unspecified,34083,579
Unspecified,33964,533
Unspecified,34075,457
Unspecified,34084,431
Unspecified,33983,414
Unspecified,33963,379
Unspecified,33990,365
Unspecified,33950,333
Unspecified,34080,292
Unspecified,34088,290
Unspecified,34103,274
Unspecified,34127,219
Unspecified,34123,215
Unspecified,34035,195
Unspecified,33994,187
Unspecified,34128,183
Unspecified,34022,183
Unspecified,34037,181
Unspecified,34149,161
Unspecified,34133,156
Unspecified,34104,146
Unspecified,33982,144
Unspecified,34126,136
Unspecified,34039,134
Unspecified,34087,125
Unspecified,33995,119
Unspecified,34089,97
Unspecified,33992,96
Unspecified,33986,92
Unspecified,34129,88
Unspecified,33985,79
Unspecified,33989,77
Unspecified,34032,65
Unspecified,34020,63
Unspecified,33993,62
Unspecified,34106,61
Unspecified,33962,60
Unspecified,34041,60
Unspecified,33988,58
Unspecified,34122,56
Unspecified,34143,54
Unspecified,34021,51
Unspecified,33896,51
Unspecified,34109,50
Unspecified,33944,46
Unspecified,33984,46
Unspecified,34003,44
Unspecified,34170,40
Unspecified,34121,40
Unspecified,33987,40
Unspecified,33991,38
Unspecified,33903,37
Unspecified,34023,37
Unspecified,33968,35
Unspecified,34171,35
Unspecified,34152,34
Unspecified,34169,33
Unspecified,33969,30
Unspecified,34145,27
Unspecified,34040,25
Unspecified,34001,19
Unspecified,34144,19
Unspecified,34042,19
Unspecified,33942,18
Unspecified,33945,13
Unspecified,34134,12
Unspecified,34172,11
Unspecified,33902,10
Unspecified,34100,7
Unspecified,33900,7
Unspecified,34137,7
Unspecified,34019,7
Unspecified,34142,4
Unspecified,33791,4
Unspecified,33959,4
Unspecified,33907,3
Unspecified,34095,2
Unspecified,33901,2
Unspecified,34131,2
Unspecified,34130,2