Manager,AID (v1),21036
Unspecified,20791,5
Unspecified,20793,2
Unspecified,20794,3
Unspecified,21111,74
Unspecified,21112,46
Unspecified,21113,201
Unspecified,21114,29
Unspecified,21115,132
Unspecified,21116,1900
Unspecified,21121,129
Unspecified,21123,155
Unspecified,21124,252
Unspecified,21125,46
Unspecified,21140,47
Unspecified,21141,40
Unspecified,21142,48
Unspecified,21169,36
Unspecified,21171,3
Unspecified,21174,2
Unspecified,21177,3
Unspecified,21285,8835
Unspecified,21286,2658
Unspecified,21287,3683
Unspecified,43278,5